Postcode,Service,Vendor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
BD,Next Day,Joda,46,78.0,99.0,122.0,140.0,162.0,182,193.0,204.0,210.0,210.0,210.0,210.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
,,McDowells,54.0,93.0,107.0,129.0,131.0,139.0,153.0,178.0,186.0,195.0,197.0,202.0,208.0,213.0,218.0,225.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0
,Economy,Joda,39,70.0,84.0,102.0,123.0,146.0,182,193.0,204.0,210.0,210.0,210.0,210.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
,,McDowells,47.0,86.0,102.0,126.0,127.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0
HD,Next Day,Joda,46,78.0,99.0,122.0,140.0,162.0,204,238.0,250.0,273.0,284.0,295.0,307.0,318.0,329.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0
,,McDowells,54.0,93.0,107.0,129.0,131.0,139.0,153.0,178.0,186.0,195.0,197.0,202.0,208.0,213.0,218.0,225.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0
,Economy,Joda,39,70.0,84.0,102.0,123.0,146.0,204,238.0,250.0,273.0,284.0,295.0,307.0,318.0,329.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0
,,McDowells,47.0,86.0,102.0,126.0,127.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0
HX,Next Day,Joda,46.0616,78.19760000000001,98.55040000000001,122.11680000000001,140.3272,161.75119999999998,204.38496000000004,238.44912,249.80384,272.51328,283.86800000000005,295.22272000000004,306.57744,317.93216,329.28688,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005
,,McDowells,54.0,93.0,107.0,129.0,131.0,139.0,153.0,178.0,186.0,195.0,197.0,202.0,208.0,218.0,234.0,250.0,250.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0
,Economy,Joda,38.5632,69.62800000000001,83.5536,101.764,123.18800000000002,145.6832,204.38496000000004,238.44912,249.80384,272.51328,283.86800000000005,295.22272000000004,306.57744,317.93216,329.28688,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005,342.78400000000005
,,McDowells,47.0,86.0,102.0,126.0,127.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0
LS,Next Day,Joda,46,78.0,99.0,122.0,140.0,162.0,204,238.0,250.0,273.0,284.0,295.0,307.0,318.0,329.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0
,,McDowells,54.0,93.0,107.0,129.0,131.0,139.0,153.0,178.0,186.0,195.0,197.0,202.0,208.0,213.0,218.0,225.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0
,Economy,Joda,39,70.0,84.0,102.0,123.0,146.0,204,238.0,250.0,273.0,284.0,295.0,307.0,318.0,329.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0
,,McDowells,47.0,86.0,102.0,126.0,127.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0
