PostcodeArea,lat,lon
AB,57.1497,-2.0943
BD,53.795,-1.7594
BB,53.7441,-2.4793
BL,53.579,-2.4299
CA,54.8925,-2.9329
CH,53.21,-2.9779
CW,53.1803,-2.4437
DH,54.7777,-1.576
DL,54.528,-1.5526
DN,53.5228,-1.1285
FY,53.8175,-3.05
HD,53.645,-1.7797
HG,54.006,-1.5427
HX,53.7259,-1.8637
HU,53.7443,-0.3325
LA,54.0489,-2.801
L,53.4084,-2.9916
LE,52.6369,-1.1398
LS,53.8008,-1.5491
M,53.4808,-2.2426
NE,54.9783,-1.6174
OL,53.5409,-2.1114
PR,53.7632,-2.7031
S,53.3811,-1.4701
SK,53.4106,-2.1575
SR,54.9069,-1.3838
TS,54.5742,-1.234
WA,53.3925,-2.5802
WF,53.6833,-1.4977
WN,53.545,-2.631
YO,53.959,-1.0815
WS,52.585,-1.983
WV,52.5862,-2.1288
NG,52.9548,-1.1581
DE,52.9225,-1.4746
CV,52.4068,-1.5197
B,52.4862,-1.8904
ST,53.0027,-2.1794
SY,52.7105,-2.7521
LL,53.2194,-3.8
